season,team,conference,division,points,wins,reg_wins,nhl_place,conference_place,division_place,round_numeric,description
20102011,VAN,Western,Northwest,117,54,46,1,1.0,1,4.0,Stanley-Cup-Final: Lost to BOS in 7 games
20102011,WSH,Eastern,Southeast,107,48,34,2,1.0,1,2.0,Conference-Semifinals: Lost to TBL in 4 games
20102011,PHI,Eastern,Atlantic,106,47,41,3,2.0,1,2.0,Conference-Semifinals: Lost to BOS in 4 games
20102011,PIT,Eastern,Atlantic,106,49,34,4,3.0,2,1.0,Conference-Quarterfinals: Lost to TBL in 7 games
20102011,SJS,Western,Pacific,105,48,38,5,2.0,1,3.0,Conference-Finals: Lost to VAN in 5 games
20102011,DET,Western,Central,104,47,34,6,3.0,1,2.0,Conference-Semifinals: Lost to SJS in 7 games
20102011,BOS,Eastern,Northeast,103,46,43,7,4.0,1,4.0,Stanley-Cup-Final: Defeated VAN in 7 games
20102011,TBL,Eastern,Southeast,103,46,32,8,5.0,2,3.0,Conference-Finals: Lost to BOS in 7 games
20102011,ANA,Western,Pacific,99,47,34,9,4.0,2,1.0,Conference-Quarterfinals: Lost to NSH in 6 games
20102011,NSH,Western,Central,99,44,36,10,5.0,2,2.0,Conference-Semifinals: Lost to VAN in 6 games
20102011,PHX,Western,Pacific,99,43,36,11,6.0,3,1.0,Conference-Quarterfinals: Lost to DET in 4 games
20102011,LAK,Western,Pacific,98,46,35,12,7.0,4,1.0,Conference-Quarterfinals: Lost to SJS in 6 games
20102011,CHI,Western,Central,97,44,34,13,8.0,3,1.0,Conference-Quarterfinals: Lost to VAN in 7 games
20102011,MTL,Eastern,Northeast,96,44,36,14,6.0,2,1.0,Conference-Quarterfinals: Lost to BOS in 7 games
20102011,BUF,Eastern,Northeast,96,43,28,15,7.0,3,1.0,Conference-Quarterfinals: Lost to PHI in 7 games
20102011,DAL,Western,Pacific,95,42,32,16,9.0,5,0.0,
20102011,CGY,Western,Northwest,94,41,30,17,10.0,2,0.0,
